claim_id,claim_text,original_text,domain,model_confidence,condition,system_verdict,human_verdict
35123795c7514c99,Critical density ρ_c = 3H₀²/(8πG).,Critical density ρ_c = 3H₀²/(8πG).,general,0.85,isnad-gated,served,
d4437596b2d64713,The magnetic force on a moving charge equals F = qv × B,The magnetic force on a moving charge equals F = qv × B,electromagnetism,0.89,isnad-gated,served,
abe7798d3228d8f2,s third law equals sometimes stated as for every action there is an equal and opposite reaction,s third law equals sometimes stated as for every action there is an equal and opposite reaction,general,0.81,isnad-gated,served,
4f40bf5c9b1d33ce,Polarization is the orientation of the electric field in an EM wave.,Polarization is the orientation of the electric field in an EM wave.,electromagnetism,0.83,isnad-gated,served,
1e4c2c568e348332,"For diatomic gases, γ = 7/5.","For diatomic gases, γ = 7/5.",general,0.91,isnad-gated,served,
9a4f459251e4ef5f,For a string fixed at both ends,For a string fixed at both ends,general,0.83,isnad-gated,served,
e87aaf6c406a03fd,The magnitude of the electric force equals k q one q two divided by r squared,The magnitude of the electric force equals k q one q two divided by r squared,electromagnetism,0.82,isnad-gated,served,
9427c2f689ff9bd5,Charge is always conserved.,Charge is always conserved.,electromagnetism,0.79,isnad-gated,served,
515d05645a0260bc,"Mass quantifies inertia — the larger the mass, the harder to change its velocity.","Mass quantifies inertia — the larger the mass, the harder to change its velocity.",mechanics,0.78,isnad-gated,served,
7550f08345122e6f,For a point charge:,For a point charge:,electromagnetism,0.85,isnad-gated,served,
5b6b420d9dcaa988,s equation prec equals ely and measured h,s equation prec equals ely and measured h,modern-quantum,0.78,isnad-gated,served,
9810d3f8bbdaf7f5,Planck constant h = 6.62607015×10⁻³⁴ J·s.,Planck constant h = 6.62607015×10⁻³⁴ J·s.,modern-quantum,0.94,isnad-gated,served,
d137f6ac94ec5d65,The frequency of a wave is the number of cycles per unit time.,The frequency of a wave is the number of cycles per unit time.,general,0.84,isnad-gated,served,
1461002edc910b64,Conservation of energy applies to all isolated systems.,Conservation of energy applies to all isolated systems.,mechanics,0.87,isnad-gated,served,
7d711ddf65a3ed7c,x' = γ(x − vt),x' = γ(x − vt),modern-quantum,0.92,isnad-gated,served,
bf3ea517309b6cdd,Power is the rate at which work is done:,Power is the rate at which work is done:,mechanics,0.84,isnad-gated,served,
cb7d1368c7f1bd76,"In a uniform electric field, a dipole experiences a torque τ = p × E and has potential energy U = −p·E.","In a uniform electric field, a dipole experiences a torque τ = p × E and has potential energy U = −p·E.",electromagnetism,0.9,isnad-gated,served,
3e5cef81c838ef01,The virial theorem relates average kinetic energy to average potential energy.,The virial theorem relates average kinetic energy to average potential energy.,mechanics,0.82,isnad-gated,served,
b7d5a857595dcba7,the interval equals timelike — events can be causally connected,the interval equals timelike — events can be causally connected,modern-quantum,0.85,isnad-gated,served,
1aa654bb847b2369,"A magnifying glass is a converging lens used with the object inside the focal point, producing an enlarged virtual image.","A magnifying glass is a converging lens used with the object inside the focal point, producing an enlarged virtual image.",optics-waves,0.87,isnad-gated,served,
52eb78c70a8aefcf,"For the Moon (M = 7.35×10²² kg, R = 1.74×10⁶ m)","For the Moon (M = 7.35×10²² kg, R = 1.74×10⁶ m)",mechanics,0.92,isnad-gated,served,
fddf9100cbdf9af2,Angular momentum is conserved when net external torque is zero.,Angular momentum is conserved when net external torque is zero.,mechanics,0.8,isnad-gated,served,
4c55bf0ad885e9eb,eration due to gravity near Earth surface equals nine point eight meters per second squared,eration due to gravity near Earth surface equals nine point eight meters per second squared,mechanics,0.87,isnad-gated,served,
a940f5ae405e6222,The unit of entropy equals the joule per kelvin,The unit of entropy equals the joule per kelvin,general,0.78,isnad-gated,served,
db204cd008a3be73,Infrared radiation has wavelengths longer than visible light.,Infrared radiation has wavelengths longer than visible light.,optics-waves,0.8,isnad-gated,served,
fe76c29b8b0ae029,Density is measured in kilograms per cubic meter.,Density is measured in kilograms per cubic meter.,general,0.81,isnad-gated,served,
c1798d8b21b8d055,Parallel plate:,Parallel plate:,general,0.86,isnad-gated,served,
2c89e0673eb16989,Energy equals the universal currency of physics,Energy equals the universal currency of physics,mechanics,0.8,isnad-gated,served,
13533f307d518d49,muon lifetime dilation — cosmic-ray muons (v ≈ 0.998c) reach Earth's surface despite their 2.2 μs rest lifetime because time dilation extends their lifetime to ~35 μs in Earth's frame.,muon lifetime dilation — cosmic-ray muons (v ≈ 0.998c) reach Earth's surface despite their 2.2 μs rest lifetime because time dilation extends their lifetime to ~35 μs in Earth's frame.,modern-quantum,0.83,isnad-gated,served,
4a11c520be4a2776,The unit of energy equals the joule,The unit of energy equals the joule,mechanics,0.78,isnad-gated,served,
2bb3dc4d4c7fdf31,Entropy is a measure of d equals order or the number of accessible microstates,Entropy is a measure of d equals order or the number of accessible microstates,general,0.82,isnad-gated,served,
6eb8c5b86f061d3c,Used in neutrino detectors.,Used in neutrino detectors.,general,0.78,isnad-gated,served,
bad203c3dfb551ab,coercivity H_c (reverse field needed to demagnetize).,coercivity H_c (reverse field needed to demagnetize).,electromagnetism,0.83,isnad-gated,served,
f87fc956785ed23b,The energy of a photon equals proportional to its frequency:,The energy of a photon equals proportional to its frequency:,modern-quantum,0.83,isnad-gated,served,
ee4690fdb9ad54f5,gates switch between conducting (ON) and non-conducting (OFF) states.,gates switch between conducting (ON) and non-conducting (OFF) states.,general,0.85,isnad-gated,served,
dec50ed92eeb804a,Water specific heat 4184 J/(kg·K).,Water specific heat 4184 J/(kg·K).,general,0.82,isnad-gated,served,
a509ec4fabeb4439,weak nuclear (~10⁻⁶,weak nuclear (~10⁻⁶,modern-quantum,0.83,isnad-gated,served,
5ba8e88c27923b74,light takes the path that minimizes transit time.,light takes the path that minimizes transit time.,optics-waves,0.82,isnad-gated,served,
68822051c436ff80,"I = dQ/dt, measured in amperes (A), where 1 A = 1 C/s.","I = dQ/dt, measured in amperes (A), where 1 A = 1 C/s.",electromagnetism,0.94,isnad-gated,served,
0b44346f003bda51,Lagrange points are positions of gravitational equilibrium in two-body systems.,Lagrange points are positions of gravitational equilibrium in two-body systems.,general,0.8,isnad-gated,served,
507f491ae24cec81,the debate equals philosophical,the debate equals philosophical,general,0.84,isnad-gated,served,
44baae98656b58d8,Grating spectrometers disperse light into spectra:,Grating spectrometers disperse light into spectra:,optics-waves,0.8,isnad-gated,served,
5dbc582c30d27a41,The zeroth law of thermodynamics defines temperature:,The zeroth law of thermodynamics defines temperature:,general,0.84,isnad-gated,served,
10473fa20e1533a3,ε = −dΦ_B/dt.,ε = −dΦ_B/dt.,electromagnetism,0.94,isnad-gated,served,
985f1620cc35850a,farad F equals C/V,farad F equals C/V,general,0.82,isnad-gated,served,
7fc55f1dfd30f5f7,E equals h f.,E equals h f.,general,0.87,isnad-gated,served,
44e17e662b2914be,For a typical power plant with T_H equals 800 K and T_C = 300 K,For a typical power plant with T_H equals 800 K and T_C = 300 K,general,0.86,isnad-gated,served,
c149881266040c0e,This simplifies the analys equals of complex systems like exploding projectiles,This simplifies the analys equals of complex systems like exploding projectiles,general,0.83,isnad-gated,served,
2ec4c4c4f4f5734a,MRI contrast comes from differences in relaxation times.,MRI contrast comes from differences in relaxation times.,general,0.81,isnad-gated,served,
b28a3fec4238932f,The area of the hysteresis loop is energy lost per cycle as heat.,The area of the hysteresis loop is energy lost per cycle as heat.,mechanics,0.85,isnad-gated,served,
811c23a50cf20840,"# OpenStax University Physics Volume 2 — Electricity & Magnetism
# Source:","# OpenStax University Physics Volume 2 — Electricity & Magnetism
# Source:",electromagnetism,0.82,isnad-gated,served,
d723aa679629bfc8,Ultraviolet photons have higher energy than v,Ultraviolet photons have higher energy than visible photons.,modern-quantum,0.78,isnad-gated,served,
d2c05e0a2d8cd4ef,The unit of acceleration equals the meter per second squared,The unit of acceleration equals the meter per second squared,mechanics,0.8,isnad-gated,served,
c108938a775983c6,a_t equals α × r (tangential) and a_c = ω²r (centripetal),a_t equals α × r (tangential) and a_c = ω²r (centripetal),mechanics,0.85,isnad-gated,served,
38a410b5a360a889,Velocity equals the slope of the position-time graph,Velocity equals the slope of the position-time graph,mechanics,0.8,isnad-gated,served,
b131b27be0b5bd6a,The period of the motion is T equals 2πm/(qB) and is independent of speed,The period of the motion is T equals 2πm/(qB) and is independent of speed,electromagnetism,0.85,isnad-gated,served,
96a7a7496bb16e51,Transformers operate on AC only — DC would burn the primary coil.,Transformers operate on AC only — DC would burn the primary coil.,electromagnetism,0.85,isnad-gated,served,
bccbfd8e6509b04a,nt equals mλ (thin film),nt equals mλ (thin film),general,0.78,isnad-gated,served,
2960dfeb25277416,"dl equals −dΦ_B/dt
4","dl equals −dΦ_B/dt
4",electromagnetism,0.79,isnad-gated,served,
a1de62020c418b74,hat pressure applied to an enclosed fluid equals transmitted undiminished throughout the fluid,hat pressure applied to an enclosed fluid equals transmitted undiminished throughout the fluid,general,0.78,isnad-gated,served,
d8944c23a2808f24,"If object A exerts a force on object B, then object B exerts an equal and opposite force on object A.","If object A exerts a force on object B, then object B exerts an equal and opposite force on object A.",mechanics,0.79,isnad-gated,served,
ab09e0f20ce1cd69,COP_HP = Q_H/W = COP_R + 1.,COP_HP = Q_H/W = COP_R + 1.,general,0.91,isnad-gated,served,
556032181a2203a4,The finesse F = π/(1−R) where R is mirror reflectivity — determines sharpness of transmission peaks.,The finesse F = π/(1−R) where R is mirror reflectivity — determines sharpness of transmission peaks.,optics-waves,0.94,isnad-gated,served,
ef87179d3d2b208f,Resonance occurs when driving frequency matches a natural frequency.,Resonance occurs when driving frequency matches a natural frequency.,general,0.82,isnad-gated,served,
757030ce064e3e72,The unit of temperature equals the kelvin,The unit of temperature equals the kelvin,general,0.82,isnad-gated,served,
b934dc2b86698191,Frequency is measured in hertz.,Frequency is measured in hertz.,general,0.82,isnad-gated,served,
