claim_id,claim_text,original_text,fault_type,domain,condition,system_verdict,human_verdict
9d29a70cec658508,M = C B/T where C is Curie constant.,M = C B/T where C is Curie constant.,scraper:formula_mangling+ingest:sign_flip,electromagnetism,review-queue,pending_review,
715e70424a1b1992,ρ_object/ρ_fluid.,ρ_object/ρ_fluid.,ingest:regime_confusion,general,review-queue,pending_review,
316ba1ce3c9a1685,"As v → c, γ → ∞ so p → ∞ — infinite momentum (and thus infinite force/energy) is required to reach c.","As v → c, γ → ∞ so p → ∞ — infinite momentum (and thus infinite force/energy) is required to reach c.",scraper:ocr_noise,mechanics,review-queue,pending_review,
aa88fe6b874abe04,K_max equals hf − φ,K_max equals hf − φ,ingest:sign_flip,general,review-queue,pending_review,
0e52715b503ccfc8,"For a typical power plant with T_H = 800 K and T_C = 300 K, η_max = 62.5%.","For a typical power plant with T_H = 800 K and T_C = 300 K, η_max = 62.5%.",ingest:entity_swap,general,review-queue,pending_review,
ac0fedec5e00b325,1 curie (Ci) = 3.7×10¹⁰ Bq.,1 curie (Ci) = 3.7×10¹⁰ Bq.,scraper:truncation,modern-quantum,review-queue,pending_review,
356dcbaacc09ade3,The familiar F equals ma assumes cons,The familiar F equals ma assumes constant mass,scraper:truncation+ingest:sign_flip,mechanics,review-queue,pending_review,
9c6561ab9bdbab70,The electric field due to an infinite line of charge with linear charge density λ is E = 2kλ/r (perpendicular to the line).,The electric field due to an infinite line of charge with linear charge density λ is E = 2kλ/r (perpendicular to the line).,ingest:entity_swap,electromagnetism,review-queue,pending_review,
6141d32c1e55814a,f_beat equals |f₁ − f₂|,f_beat equals |f₁ − f₂|,scraper:ocr_noise,general,review-queue,pending_review,
44f425e458202789,value measures thermal res equals tance:,value measures thermal res equals tance:,scraper:digit_swap,general,review-queue,pending_review,
b329c131deb499da,"In a perfectly inelastic collision, the objects stick together after the collision and move with a common velocity.","In a perfectly inelastic collision, the objects stick together after the collision and move with a common velocity.",ingest:sign_flip,mechanics,review-queue,pending_review,
39932b93f10b7362,Charge equals measured in coulombs,Charge equals measured in coulombs,ingest:fabricated_numeric,electromagnetism,review-queue,pending_review,
461c880157fe85f7,Positron emission tomography detects annihilation photons.,Positron emission tomography detects annihilation photons.,scraper:ocr_noise,modern-quantum,review-queue,pending_review,
2dfddf9db9e1e53f,where A is plate area and d equals separation,where A is plate area and d equals separation,scraper:unit_corruption,electromagnetism,review-queue,pending_review,
895ea3a878abaa1f,The unit of permittivity equals the farad per meter,The unit of permittivity equals the farad per meter,ingest:fabricated_numeric,general,review-queue,pending_review,
8701c93d78c002cb,Superconductors have zero electrical resistance below a critical temperature.,Superconductors have zero electrical resistance below a critical temperature.,scraper:truncation,electromagnetism,review-queue,pending_review,
80c104e5d343a8c6,N equally spaced slits produce principal maxima at d sin θ = mλ (same condition as double slit).,N equally spaced slits produce principal maxima at d sin θ = mλ (same condition as double slit).,ingest:entity_swap,electromagnetism,review-queue,pending_review,
7e6088b1c7f097bb,C_V equals (5/2)R,C_V equals (5/2)R,ingest:sign_flip,general,review-queue,pending_review,
6fb7dbc483fa3c0d,dB = (μ₀/4π)(Idl×r̂/r²).,dB = (μ₀/4π)(Idl×r̂/r²).,scraper:negation_drop,general,review-queue,pending_review,
f4328b4f75637eb1,The secondary rainbow has reversed color order and is dimmer.,The secondary rainbow has reversed color order and is dimmer.,ingest:regime_confusion,general,review-queue,pending_review,
47d9246776c84074,dP/dT = L/(TΔV) for phase transitions.,dP/dT = L/(TΔV) for phase transitions.,ingest:regime_confusion,general,review-queue,pending_review,
